,,,,,,To check,To check,To check,To check,To check,To check,To check,To check,To check,,To check,,To check,To check,To check,To check,To check,To fill,To fill,To fill,To fill,To fill,To fill,To fill,To fill,
,,,A2814,233,2815,"Carbon sequestration: estimation of carbon stock in natural forests using geospatial technology in the Eastern Ghats of Tamil Nadu, India","The need for a carbon databank is addressed in this article in the context of mitigating climatic changes. As a pilot study, carbon stock in a natural forest area of Kolli hills, part of the Eastern Ghats of Tamil Nadu, India has been estimated using geospatial technology. The total biomass, both above and below ground, is calculated and the total carbon stock estimated. Likewise, the sequestered soil organic carbon is also estimated. The biomass carbon estimated is 2.74 Tg and the soil carbon is 3.48 Tg. The lesser soil organic carbon indicates that the forest area is severely affected by degradation due to various need-based forestry practices and anthropogenic disturbances. A national-level carbon databank is envisaged for all types of forest in India to study the temporal change and carbon sequestration potential for better management of forests.",Y,Plot-based or transects,no DOI (manual),2007,CURRENT SCIENCE,"Ramachandran, A; Jayakumar, S; Haroon, RM; Bhaskaran, A; Arockiasamy, DI",,,semi-arid; waterlogging; salinity; capillary fringe; root zone; bio-pumps,TREES; ROOT,CCS Haryana Agricultural University; Indian Council of Agricultural Research (ICAR); ICAR - Central Soil Salinity Research Institute,"Haryana Agr Univ, Dept Forest, Hisar 125004, Haryana, India; Dept Forest, Kurukshetra, Haryana, India; Cent Soil Salin Res Inst, Karnal, Haryana, India","Ram, J (corresponding author), Haryana Agr Univ, Dept Forest, Hisar 125004, Haryana, India.",,,,,,,,,,,
,,,B0029,234,3355,"Vegetation types, dominant compositions, woody plant diversity and stand structure in Trishna Wildlife Sanctuary of Northeast India",NA,Y,Plot-based or transects,no DOI (manual),2015,JOURNAL OF ENVIRONMENTAL BIOLOGY,"Majumdar, K; Datta, BK",,,,,,,,,,,,,,,,,,
,,,B0009,235,3355,"Forest structure, diversity and soil properties in a dry tropical forest in Rajasthan, Western India",NA,Y,Plot-based or transects,no DOI (manual),2011,ANNALS OF FOREST RESEARCH,"Kumar, JIN; Patel, K; Kumar, RN; Bhoi, RK",,,,,,,,,,,,,,,,,,
,,,A3245,236,3246,Comparison of forest structure and use by the Indian giant squirrel (Ratufa indica) in two riverine forests of central India,"Forest structure and the use of feeding and nest trees by Ratufa indica were assessed at a disturbed and an undisturbed riverine habitat in Bori Wildlife Sanctuary, central India. There were differences in the availability of large trees between the sites. However, despite these differences in forest structure, R. indica at both sites showed similar preferences for feeding in trees greater than 150 cm in girth at breast height (GBH) and with heights greater than 15 m. A preference for larger trees was also observed in the use of nest trees. Though the species may be able to adapt to disturbed forests, there is preferential use of tall mature trees and dependence on canopy continuity. The assessment of forest structure is essential in determining habitat suitability for giant squirrel.",Y,Plot-based or transects,https://doi.org/10.2307/2389203,1996,BIOTROPICA,"Datta, A; Goyal, SP",,,,SUBDIVIDED POPULATIONS; NATURAL-POPULATIONS; F-STATISTICS; FLOW; DIVERSITY; BEETLE,,,"Follett, PA (corresponding author), UNIV HAWAII MANOA,DEPT ENTOMOL,CTR CONSERVAT RES & TRAINING,3050 MAILE WAY,GILMORE 310,HONOLULU,HI 96822, USA.",,,,,,,,,,,
,,,A1239,237,1240,"Tree stand structure and floristic composition of tropical forests in Garo hills, Meghalaya, North-East India","Fifty-one sampling plots were enumerated in 5.1 ha area in different forest categories and elevations ranging from 100 to 1250 m, for monitoring tree stand structure and floristic composition in tropical forests of Garo hills of Meghalaya, north-east India. Enumeration of all tree stands >= 10 cm GBH (girth at breast height) equivalent to 3.18 cm DBH (diameter at breast height) yielded a total of 2843 individuals ranging from 2 to 223 individuals per plot (0.1 ha) belonging to 132 species, 118 genera and 63 families. Euphorbiaceae was the dominant family in the forest with 12 species, 11 genera and family important value index (FIV) of 42.7. Tree stand density, species richness, diversity index and basal area were found to be highest in evergreen forest and least in mixed moist deciduous forest. We carried out spatial analysis of spread of species richness, basal area, tree density, and tree biodiversity. We found higher basal area, tree density and biodiversity in protected areas of the region. This demonstrates the conservation value of protected areas in the region. Schima wallichii (280 individuals), Macaranga denticulata (275 individuals) and Michelia oblonga (238 individuals) were some of predominant species having species important values (SIV) 26.48, 17.36, 14.41, respectively, representing all together 28% of the total tree stand density. The total basal area from all the sampling plots was 254.62 m(2) out of which, the highest contribution of 64.80 m(2) ha(-1) (50%) was by evergreen forest and lowest, 22.43 m(2) ha(-1) (17%) was contributed by deciduous forest. At the species level, Schima wallichi has contributed 13% of the total basal area. The smaller 10-20 cm diameter class showed maximum tree density implying regenerating forest and highest basal area (9.80 m(2) ha(-1)) for overall study site. However, in evergreen forest 40-50 cm diameter class exhibited highest basal area of 64.80 m(2) ha(-1) and greater diversity (4.06) leading to higher stability of the community. It was found that elevation is directly proportional to tree density, species richness and basal area. This study provides useful baseline data to conserve the native flora of forests in Garo hills.",Y,Plot-based or transects,no DOI (manual),2018,TROPICAL ECOLOGY,"Shruthi, RBV; Hegde, GT; Chaturvedi, RK",,,Altitudinal zones; bulk density; carbon sequestration; soil organic carbon; vegetation structure,,"Chinese Academy of Sciences; Xishuangbanna Tropical Botanical Garden, CAS","[Bahuguna, Hariom Sharan] Govt PG Coll, Dept Bot, Rudraprayag, Uttarakhand, India; [Bahuguna, Hariom Sharan; Rajwar, G. S.] Sri Dev Suman Uttarakhand Univ Badsahithol, Tehri Garhwal, Uttarakhand, India; [Chaturvedi, R. K.] Chinese Acad Sci, Ctr Integrat Conservat, Xishuangbanna Trop Bot Garden, Mengla 666303, Yunnan, Peoples R China; [Rajwar, G. S.] Govt PG Coll, Rudraprayag, Uttarakhand, India","Chaturvedi, RK (corresponding author), Chinese Acad Sci, Ctr Integrat Conservat, Xishuangbanna Trop Bot Garden, Mengla 666303, Yunnan, Peoples R China.","Council of Scientific and Industrial Research, India [09/13(452)/2012-EMR-I]; National Natural Science Foundation of China (NSFC), Chinese Academy of Science, China [31750110466]",,,,,,,,,,
,,,A2661,238,2662,"Effect of disturbance, habitat fragmentation and alien invasive plants on floral diversity in dry tropical forests of Vindhyan highland: a review","Effect of disturbance, habitat fragmentation and exotic plant species invasion on plant diversity is documented for the dry. deciduous forests of India's Vindhyan highlands. Plant communities were identified with the help of satellite imagery and ground data, and community wise diversity was estimated. Analysis of landscape matrices using satellite images and GIS tools showed deforestation of smaller fragments, and fragmentation and degradation of larger ones. Fragments of smaller size had lesser number of plant communities compared to larger fragments. Generally large size fragments were species rich and more diverse as compared to smaller fragments. Lagestoemia-Acacia-Lannea community was richest for both tree and herb strata, whereas Shorea-Buchanania community was the richest when all vascular flora were considered. The study indicates that species rich communities of the dry tropical forests are not only being reduced in area but they are also becoming species poof and less diverse due to rapid deforestation and forest fragmentation. The communities most vulnerable to alien invasive plants were Acacia-Terminalia, Terminalia-Shorea and Hardwickia-Acacia. Ecological implications of plant invasion are discussed and conservation measures suggested.",Y,Plot-based or transects,no DOI (manual),2009,TROPICAL ECOLOGY,"Raghubanshi, AS; Tripathi, A",,,Biodiversity; India; Nilgiri Biosphere Reserve; social bee diversity,LOWLAND DIPTEROCARP FOREST; WESTERN-GHATS; POLLINATION; HYMENOPTERA; DIVERSITY; DECLINES; BIOLOGY; SARAWAK,Pondicherry University; University of Reading,"[Thomas, Sumin G.; Rehel, Shiny M.; Varghese, Anita] Keystone Fdn, The Nilgiris 643217, Tamil Nadu, India; [Davidar, Priya] Pondicherry Univ, Dept Ecol & Environm Sci, Puducherry 605014, India; [Potts, Simon G.] Univ Reading, Ctr Agr Environm Res, Reading RG6 6AR, Berks, England","Thomas, SG (corresponding author), Keystone Fdn, The Nilgiris 643217, Tamil Nadu, India.",,,,,,,,,,,
,,,A0386,239,387,"COMMUNITY STRUCTURE AND REGENERATION STATUS OF TREE SPECIES IN KYONGNOSLA ALPINE SANCTUARY, EASTERN HIMALAYA, INDIA","Habitat destruction, over exploitation, monoculture are major reasons for loss of primary forests in Himalaya. Tree population, composition and diversity particularly in the temperate Himalaya play a key role in the maintenance of many ecosystem services and natural biogeochemical cycles. The present study explores composition and regeneration status of tree species in a temperate mixed forest in Kyongnosla Alpine Sanctuary, East Sikkim, India.Â Two sites at an elevation range of 2800â€“3800 m were selected and 20 plots of 20 m Ã— 20 m for trees, 80 plots of 5 m Ã— 5 m for saplings, and 160 plots of 1 m Ã— 1 m for seedlings were sampled to study the regeneration status. A total of 17 tree species belonging to 9 genera and 8 families were recorded of which Rhododendron was the most dominant genus with maximum number of species. All the phytosociological attributes, such as relative density, abundance and important value index were calculated. The average species richness of adult trees and saplings was 13.5Â± 0.7 and for seedlings it was 12.5 Â± 0.07. The mean density of seedlings was 3609.77 Â± 494.39 individuals/ ha, for saplingsÂ 1540 Â± 113.13 individuals/ha and of mature treesÂ 548.75 Â± 8.83 individuals/ha. Total basal area cover ranged from 36.61 to 40.35 m2/ha for trees, from 1.54 to 1.71 m2/ha for saplings.Â Fair regeneration was observed in 64.72% of total species; good regeneration observed in 17.64% species, 11.76 % species exhibited poor regeneration while 5.88% showed no regeneration.Â Density-diameter distribution exhibited decrease in tree densities towards higher DBH classes. The study not only provides reliable information on the ecosystemâ€™s health of the sanctuary but also will help in understanding the complexity of the ecosystem function and an approach to conservation of biota.",Y,Plot-based or transects,https://doi.org/10.20886/ijfr.2021.8.2.241-257,2021,INDONESIAN JOURNAL OF FORESTRY RESEARCH,"Lahiri, S; Dash, SS",,,,COMMUNITY STRUCTURE; ORGANIC-MATTER; SEA; FORAMINIFERA; SEDIMENT; COAST; ASSEMBLAGES; INDICATORS; BAY; ENVIRONMENT,Annamalai University; Instituto Politecnico Nacional - Mexico,"[Punniyamoorthy, Rengasamy; Murugesan, Perumal; Mahadevan, Gopalan] Annamalai Univ, Ctr Adv Study Marine Biol, Fac Marine Sci, Parangipettai 608502, Tamil Nadu, India; [Sanchez, Alberto] Inst Politecn Nacl, Ctr Interdisciplinario Ciencias Marinas, Av IPN SN, La Paz, Bcs, Mexico","Murugesan, P (corresponding author), Annamalai Univ, Ctr Adv Study Marine Biol, Fac Marine Sci, Parangipettai 608502, Tamil Nadu, India.","Ministry of Earth Sciences - National Centre for Coastal Research (NCCR), New Delhi [MoES/ICMAM-PD: 81/2017]",,,,,,,,,,
,,,C0146,240,3355,"Remote Sensing estimates of above ground biomass in Kuldiha Wildlife Sanctuary, Orissa, India","Measurements of forest structure are important for wildlife habitat supervision. An optimal
strategy for mapping forest structure would include detailed measurements of the timber volume
and biomass, which are traditionally provided by field sampling, together with the broad spatial
coverage afforded by remote sensing. The present study aims to estimate the above ground tree
biomass (AGB) of forest cover in Khuldia wildlife sanctuary, Balasore district, Orissa, by
combining field inventoried data and multispectral satellite image. We coupled AGB values,
calculated from field measurements of tree diameter at breast height (dbh), with spectral
information derived from IRS P6 LISS-III sensor data through linear regression analyses to
produce an initial biomass map. We found that AGB estimates were strongly related to red
reflectance (r2=0.85 and normalized difference vegetation index (NDVI; r2=0.69). Our AGB
results are comparable to previously reported values. The total amount of AGB in the study area
(272.75 sq.km.) was estimated as 5353.70 Giga tons and ranged from 75 to 338 Mg/ha with an
average of 196 and a standard deviation of 45 Mg/ha. The AGB class with the highest percentage
(32.1%) was between 250 and 300 Mg/ha. Forests with biomass values 300 to 338 Mg/ha
accounted for less than 10% of the study area and were usually associated with mature trees.
Estimated AGB was validated using independent field measurements (R2=0.67, pb0.001). The
AGB map can be used as baseline information for future landscape level studies such as
quantifying the regional carbon budget, accumulating fuel, or monitoring management practices",Y,Plot-based or transects,link,"M Rangaswamy, CS Reddy, CS Jha, C Pattanaik - academia.edu",NA,"M Rangaswamy, CS Reddy, CS Jha, C Pattanaik",,,,,,,,,,,,,,,,,,
,,,A2875,241,2876,Seed size: a key trait determining species distribution and diversity of dry tropical forest in northern India,"The study examined the relationships among seed size, plant distribution and abundance in a dry tropical forest of northern India. Results indicated that small-seeded species, which were generally wind-dispersed, were more widely distributed, at this local scale, compared to large-seeded species. However, the proportional abundance and basal cover of seed size categories indicated that the structure of the dry forest was largely determined by the medium- to large-seeded species. There was a considerable amount of redundancy within each seed size group, which added to the species diversity. Variability in seed size and the variable degree of shade-tolerance permit the species to occupy the full range of the gradient of light environments of the forest floor. This study revealed that in little to moderately disturbed locations seedlings of large-seeded species increased in abundance, whereas in extremely perturbed locations seedlings of species with medium-sized to small seeds were more abundant. (c) 2006 Elsevier SAS. All rights reserved.",Y,Plot-based or transects,https://doi.org/10.1016/j.actao.2005.10.003,2006,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,"Khurana, E; Sagar, R; Singh, JS",,,mixed-oak forest; soil microbial biomass; immobilization; soil nutrient pool,CHLOROFORM FUMIGATION; RESPIRATION; NITROGEN; PHOSPHORUS; PASTURE; RANGE,Manipur University,"Manipur Univ, Dept Life Sci, Imphal 795003, Manipur, India","Yadava, PS (corresponding author), Manipur Univ, Dept Life Sci, Imphal 795003, Manipur, India.",,,,,,,,,,,
,,,C0204,242,3355,The impact of resource collection by local communities on the dry forests of the Kalakad-Mundanthurai Tiger Reserve,"Rural communities often depend on forest resources for their livelihood, but non-sustainable
extraction of these resources can result in the loss of biodiversity. To assess the impact of resource extraction
on forest vegetation, we conducted a study in the dry deciduous forests adjoining the eastern boundary of the
Kalakad-Mundanthurai Tiger Reserve in the southern western ghats, India. Using 8, 1–ha plots where all
woody species ≥3.18 cm dbh (diameter at breast height) were permanently marked with tags, we estimated
the number of fresh cuttings on branches and stems at 3–month intervals over a period of 2 years. We used
these data to estimate the extraction pressure: [(total number of cuts*100/total number of plants in the plot)/
3] to give monthly percentages for each village. We compared vegetation structure, diversity, basal area and
regeneration in sites with heavy human pressure to control plots where there was no current extraction. On
average, branches and stems from 10% of plants in a hectare of forest were pruned or cut every month.
However, the mean % of branches and stems pruned or cut per month declined from 15% to 8% over the 2
year study period. There was lower species richness, species diversity, and mean height of trees in the
disturbed site, when compared with the undisturbed sites. The basal area and regeneration of plants were
also lower in the disturbed sites. Very few of the species extracted by villagers regenerated in the disturbed
sites. This suggests that resource extraction is non-sustainable within the protected area and will eventually
lead to loss of biodiversity and degradation of the forest.",Y,Plot-based or transects,link,2005,NA,"M Arjunan, JP Puyravaud, P Davidar",,,,,,,,,,,,,,,,,,
,,,A2575,243,2576,Plant diversity in sacred forest fragments of Western Ghats: a comparative study of four life forms,"The effect of fragmentation on different life forms within tropical forest plant communities is poorly understood. We studied the effect of degree of fragmentation and surrounding matrix on trees, lianas, shrubs and epiphytes in tropical forest fragments of Kodagu, Western Ghats, India. These fragments exist as sacred groves amidst a highly modified agricultural landscape, and have been preserved by the religious sentiments of local communities. Plants were sampled at two sites in continuous forests and 11 forest fragments. A total of 122 species of trees, 29 species of lianas, 60 species of shrubs and 66 species of epiphytes were recorded. Trees exhibited a significant species-area relationship (R (2) = 0.74). Richness estimates after controlling for stem density (rarefaction) revealed that observed species-area relationship was not an artefact of passive sampling. Variation in species richness of the other three groups was explained by stem density and structural diversity. Linear distance from the reserve forest did not explain any variation in species richness. All life forms exhibited significant nested pattern. Trees were nested along the area gradient while nestedness in the other three groups showed evidence in support of habitat nestedness. The four life forms thus responded variably to degree of fragmentation. Our study revealed that 74% of the regional diversity for trees was contributed by diversity among plots, highlighting the importance of inter-patch habitat diversity in maintaining the total regional species pool. We conclude that trees alone cannot serve as good indicator for taking appropriate conservation measures to mitigate species loss resulting from habitat fragmentation.",Y,Checklist,https://doi.org/10.1007/s11258-009-9638-8,2010,PLANT ECOLOGY,"Page, NV; Qureshi, Q; Rawat, GS; Kushalappa, CG",,,Dairy industry wastewater; Moringa oleifera; Biosorption; Natural adsorbent,AQUEOUS-SOLUTIONS; ORGANIC POLLUTANTS; REMOVAL; COAGULATION; MECHANISM; SORPTION; PROTEIN; POWDER; SYSTEM; IONS,Universidade Estadual de Maringa; Universidade Federal de Sergipe,"[Salcedo Vieira, Angelica Marquetotti; Vieira, Marcelo F.; Bergamasco, Rosangela] Univ Estadual Maringa, Dept Chem Engn, BR-87020900 Maringa, Parana, Brazil; [Silva, Gabriel F.; Araujo, Alvaro A.] Univ Fed Sergipe, Dept Chem Engn, BR-49100000 Sao Cristovao, Sergipe, Brazil; [Fagundes-Klen, Marcia R.; Veit, Marcia T.] W Parana State Univ Toledo, Dept Chem Engn, BR-85903000 Toledo, Parana, Brazil","Vieira, AMS (corresponding author), Univ Estadual Maringa, Dept Chem Engn, Av Colombo 5790, BR-87020900 Maringa, Parana, Brazil.",National Council for Scientific and Technological Development,,,,,,,,,,
,,,A2157,244,2158,"Carbon stock estimation for tree species of Sem Mukhem sacred forest in Garhwal Himalaya, India","Carbon stock estimation was conducted in tree species of Sem Mukhem sacred forest in district Tehri of Garhwal Himalaya, Uttarakhand, India. This forest is dedicated to Nagraj Devta and is dominated by tree species, including Quercus floribunda, Quercus semecarpifolia and Rhododendron arboreum. The highest values of below ground biomass density, total biomass density and total carbon density were (34.81 +/- 1.68) Mg center dot ha(-1), (168.26 +/- 9.04) Mg center dot ha(-1) and (84.13 +/- 4.18) Mg center dot ha(-1) for Pinus wallichiana. Overall values of total biomass density and total carbon density calculated were 1549.704 Mg center dot ha(-1) and 774.77 Mg center dot ha(-1) respectively. Total value of growing stock volume density for all species was 732.56 m(3)center dot ha(-1) and ranged from (144.97 +/- 11.98) m(3)center dot ha(-1) for Pinus wallichiana to (7.78 +/- 1.78) m(3)center dot ha(-1) for Benthamidia capitata.",Y,Plot-based,https://doi.org/10.1007/s11676-013-0341-1,2013,JOURNAL OF FORESTRY RESEARCH,"Pala, NA; Negi, AK; Gokhale, Y; Aziem, S; Vikrant, KK; Todaria, NP",,,Habitat preference; oligarchy hypothesis; spatial distribution; species richness; vines,RAIN-FOREST; NATIONAL-PARK; EVERGREEN FORESTS; SPECIES RICHNESS; LIANA DIVERSITY; SOIL NUTRIENTS; TREE; PATTERNS; BIOMASS; YASUNI,University of Delhi,"[Jayakumar, R.] Univ Delhi, Sch Environm Studies, Ctr Environm Management Degraded Ecosyst, Delhi 110007, India; [Nair, K. K. N.] Kerala Forest Res Inst, Dept Forest Bot, Trichur 680653, India","Jayakumar, R (corresponding author), Univ Delhi, Sch Environm Studies, Ctr Environm Management Degraded Ecosyst, Delhi 110007, India.","Ministry of Environment and Forests and Council of Scientific and Industrial Research, New Delhi",,,,,,,,,,
,,,C0145,245,3355,"Estimation of biomass and carbon sequestration of trees in informally protected areas of Rajouri, J&K, India",NA,Y,Plot-based,no DOI (manual),2014,NA,"B Gupta, S Sharma",,,,,,,,,,,,,,,,,,
,,,A2675,246,2676,"Diversity of understory plants in undisturbed and disturbed tropical lowland forests of Little Andaman Island, India","Species richness and density of understory plants were investigated in eight 1 ha plots, distributed one each in undisturbed and disturbed tropical evergreen, semi-evergreen, deciduous and littoral forests of Little Andaman island, India, which falls under one of the eight hottest hotspots of Biodiversity in the world viz. the Indo-Burma. One hundred 1 m(-2) quadrats were established in each 1 ha plot, in which all the understory plants (that include herbs, undershrubs, shrubs and herbaceous climbers) were enumerated. The total density of understory plants was 6,812 individuals (851 ha(-1)) and species richness was 108 species, representing 104 genera and 50 families. Across the four forest types and eight study plots, the species richness ranged from 10 to 39 species ha(-1). All the disturbed sites harbored greater number of species than their undisturbed counterparts. Herbs dominated by species (63%) and density (4,259 individuals). The grass Eragrostis tenella (1,860 individuals; IVI 40), the invasive climber Mikania cordata (803; IVI 20) and the shrub Anaxagorea luzonensis (481; IVI 17.5) were the most abundant species. Poaceae, Asteraceae, Acanthaceae, Orchidaceae and Euphorbiaceae constituted the species-rich families represented by 6 species each. The species-area curves attained an asymptote at 0.8 ha level except in sites DD and DL, indicating 1 ha plot is not sufficient to capture all the understory species in disturbed forests. The alien weeds formed about one-fourth of the species richness (31 species; 28%) and density (1,926 individuals; 28.3%) in the study sites, indicating the extent of weed invasion and the attention required for effective conservation of the native biodiversity of the fragile island forest ecosystem.",Y,Plot-based,https://doi.org/10.1007/s10531-008-9496-z,2009,BIODIVERSITY AND CONSERVATION,"Rasingam, L; Parthasarathy, N",,,endophyte; litter fungi; tropical forest; fungal diversity; diversity estimation,TROPICAL FORESTS; HOST-RANGE; DIVERSITY; MICROFUNGI; LEAVES; TREES; BIODIVERSITY; COMMUNITIES; ABUNDANCE,,"[Suryanarayanan, T. S.] Ramakrishna Mission Vidyapith, Vivekananda Inst Trop Mycol VINSTROM, Chennai 600004, Tamil Nadu, India; [Thirumalai, E.; Prakash, C. P.; Rajulu, M. B. Govinda; Thirunavukkarasu, N.] Ramakrishna Mission Vidyapith, Dept Bot, Chennai 600004, Tamil Nadu, India","Suryanarayanan, TS (corresponding author), Ramakrishna Mission Vidyapith, Vivekananda Inst Trop Mycol VINSTROM, Chennai 600004, Tamil Nadu, India.","Ministry of Environment and Forests, Government of India [23/36/2003-RE]; Department of Biotechnology, Government of India [BT/IN/FRG/TSS/2003-04]",,,,,,,,,,
,,,C0057,247,3355,"PLANT DIVERSITY IN TROPICAL DRY FORESTS, INDIA",NA,Y,Plot-based,no DOI (manual),C NarayanÂ - PERSPECTIVES ON BIODIVERSITY OF INDIA - researchgate.net,NA,C Narayan,,,,,,,,,,,,,,,,,,
,,,C0218,248,3355,Mapping of forests based on biological diversity to identify conservation sites: a case study from Udupi and South Canara districts of Karnataka,NA,Y,Plot-based,no DOI (manual),2000,NA,"B Shivaraj, N Barve, MC Kiran",,,,,,,,,,,,,,,,,,
,,,A2674,249,2675,Comparing tree diversity and composition in coffee farms and sacred forests in the Western Ghats of India,"Expansion of coffee cultivation is one of the causes of deforestation and biodiversity loss. However, shade grown coffee has been promoted as a means for preserving biodiversity in the tropics. In this study we compared tree diversity in two types of coffee management regimes with the sacred groves in the Western Ghats of India. We computed species accumulation curves, species diversity indices and evenness indices to compare the different management regimes. Results of diversity indices showed that shade coffee had less diversity compared to sacred groves. Exotic species dominated the tree diversity in lands where the tree harvesting rights are with the growers. Native trees dominated the tree diversity when growers had no ownership rights on trees. A species accumulation curve suggested that the sacred grove had higher species richness compared to other two habitats. Lack of incentive to preserve endemic species as shade trees is forcing growers to plant more exotic species in shade grown coffee plots. If encouraged, shade grown coffee can preserve some biodiversity, but cannot provide all ecological benefits of a natural forest.",Y,Plot-based,https://doi.org/10.1007/s10531-008-9502-5,2009,BIODIVERSITY AND CONSERVATION,"Ambinakudige, S; Sathish, BN",,,Andaman Islands; Disturbance; Invasive species; Species density; Tropical forest; Understory plants,SPECIES RICHNESS; WESTERN-GHATS; GROUND HERBS; DISTRIBUTIONS; ABUNDANCE; PATTERNS; TREES; GAPS,Pondicherry University,"[Rasingam, L.; Parthasarathy, N.] Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India","Parthasarathy, N (corresponding author), Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India.","Andaman and Nicobar Island Forest Plantation and Development Corporation Limited, Port Blair",,,,,,,,,,
,,,A1661,250,1662,Variation of biomass and carbon pool with NDVI and altitude in sub-tropical forests of northwestern Himalaya,"In the present study, forests at three altitudes, viz., A(1) (600-900 m), A(2) (900-1200 m) and A(3) (12001500 m) above mean sea level having normalised differential vegetation index (NDVI) values of N-1 (0.0-0.1), N-2 (0.1-0.2), N-3 (0.2-0.3), N-4 (0.3-0.4) and N-5 (0.4-0.5) were selected for studying their relationship with the biomass and carbon pool in the state of Himachal Pradesh, India. The study reported maximum stem density of (928 trees ha(-1)) at the A(2) altitude and minimum in the A(3) and A(1) with 600 trees ha(-1) each. The stem densities in relation to NDVIs were observed in the order N-5 > N-3 > N-4 > N-1 > N-2 and did not show any definite trend with increasing altitude. Highest stem volume (295.7 m(3) ha(-1)) was observed in N-1 NDVI and minimum (194.1 m(3) ha(-1)) in N-3 index. The trend observed for stem biomass at different altitudes was A(3) > A(1) > A(2) and for NDVIs, it was N-5 > N-1 > N-4 > N-2 > N-3. Maximum aboveground biomass (265.83 t ha(-1)) was recorded in the 0.0-0.1 NDVI and minimum (169.05 t ha(-1)) in 0.2-0.3 NDVI index. Significantly, maximum total soil carbon density (90.82 t C ha(-1)) was observed in 0.4-0.5 NDVI followed by 0.3-0.4 NDVI (77.12 t C ha(-1)). The relationship between soil carbon and other studied parameters was derived through different functions simultaneously. Cubic function showed highest r(2) in most cases, followed by power, inverse and exponential function. The relationship with NDVI showed highest r(2) (0.62) through cubic functions. In relationship between ecosystem carbon with other parameters of different altitudinal gradient and NDVI, only one positively significant relation was formed with total density (0.579) through cubic function. The present study thus reveals that soil carbon density was directly related to altitude and NDVIs, but the vegetation carbon density did not bear any significant relation with altitude and NDVI.",Y,Plot-based or transects,https://doi.org/10.1007/s10661-016-5626-3,2016,ENVIRONMENTAL MONITORING AND ASSESSMENT,"Bhardwaj, DR; Banday, M; Pala, NA; Rajput, BS",,,Mangroves; Basal area; Litterfall; Net primary productivity; Phenology; Temporal trend,GULF-OF-CALIFORNIA; FORESTS; ESTUARY; BIOMASS; FALL; TURNOVER,Cochin University Science & Technology,"[Rani, V.; Sreelekshmi, S.; Preethy, C. M.; BijoyNandan, S.] Cochin Univ Sci & Technol, Sch Marine Sci, Dept Marine Biol Microbiol & Biochem, Cochin 682016, Kerala, India","BijoyNandan, S (corresponding author), Cochin Univ Sci & Technol, Sch Marine Sci, Dept Marine Biol Microbiol & Biochem, Cochin 682016, Kerala, India.","DST-INSPIRE, Govt. of India [IF110502]",,,,,,,,,,
,,,C0221,251,3355,"Forest resource availability and its use by the migratory villages of Uttarkashi, Garhwal Himalaya (India)","Recognising the ecological importance of Himalayan forests in terms of their intrinsic values as life support system for the local people and as repository of regional biodiversity, the present study was conducted. It aimed at assessing the status of available forest resources, current levels of pressure on them and sustainability of current land use practices in a part of district Uttarkashi in Garhwal Himalaya. We quantified available standing biomass, regeneration and population of highly preferred species and their consumption patterns. The study revealed a spatio-temporal variation in resource extraction. The standing biomass of preferred woody species at low altitude permanent villages and high altitude summer camping sites (Kharaks) were 140.68±26.91 and 477.46±31.8 t/ha, respectively. Average fuel wood consumption per household at permanent villages was 14.65±0.78 kg/day whereas consumption per temporary hut (Chhans) at camping sites was 36.42±3.35 kg/day. Higher per capita consumption of fuel wood in the camping sites due to seasonal migration of local as well as transhumants locally known as Gujjars had put immense pressure on sub-alpine forests. An increase in the demands for natural resources was noticed due to an augmented influx of tourists, which would further lead to the degradation of already scarce resources in the sub-alpine areas. Thus increased resource extraction from the low as well as high altitude forests simultaneously, may not be sustainable in the long run. In near future this might affect the status of the undisturbed forest at middle elevation, which has relatively high available biomass and regeneration capacity.",Y,Plot-based or transects,link,2003,NA,"A Awasthi, SK Uniyal, GS Rawat, A Rajvanshi",,,,,,,,,,,,,,,,,,
