,,,,,,To check,To check,To check,To check,To check,To check,To check,To check,To check,,To check,,To check,To check,To check,To check,To check,To fill,To fill,To fill,To fill,To fill,To fill,To fill,To fill,
,,,A0289,279,290,Impact of anthropogenic disturbances on the liana diversity and need for conservation of resource valued species- Evidences from Indian tropical dry evergreen forests,"Re-inventory of lianas were performed in two 1-ha permanent plots at a 19-year interval (2001–2020) in two tropical dry evergreen forest sites (TDEF; Oorani -OR and Puthupet - PP) of Coromandel Coast of India. Overall, 1964 lianas representing 30 species belonging to 24 genera and 18 families were recorded in this study. Liana species richness declined in both the sites since initial inventory. The TDEF sites revealed an overall increase in stem density for the families Loganiaceae, Papilionaceae, Tiliaceae, Combretaceae, and Celastraceae. The site PP subjected to extreme anthropogenic disturbances reported considerable decrease in its stem density. The diameter class 1–3 cm also revealed substantial decline in its stem density. The endemic species Derris ovalifolia showed an increase in its stem density in 19 years. Anthropogenic disturbances resulted in significant decrease in abundance of species such as Gymnema sylvestre and Jasminum angustifolium, which are known for their medicinal value. The present results provide insights on how anthropogenic disturbances alter species diversity, abundance, and resource values of lianas in TDEFs over a period of time, which will certainly be beneficial for proposing management strategies in the conservation of this forest type.",Y,Plot-based or transects,https://doi.org/10.6165/tai.2022.67.129,2022,TAIWANIA,"Nath, S; Babu, KN; Dilshad, K; Dar, AA; Parthasarathy, N",,,Coffee agroforest; Tree dynamics; Native trees,BIODIVERSITY CONSERVATION; FOREST; DISTURBANCE; POPULATION; ABUNDANCE; FARMS,,"[Sathish, B. N.; Bhavya, C. K.; Kushalappa, C. G.; Nanaya, K. M.; Dhanush, C.; Devagiri, G. M.; Gajendra, C., V] Coll Forestry, Ponnampet, India; [Sathish, B. N.; Bhavya, C. K.; Kushalappa, C. G.; Nanaya, K. M.; Dhanush, C.; Devagiri, G. M.; Gajendra, C., V] KSNUAHS, Shivamogga, India","Sathish, BN (corresponding author), Coll Forestry, Ponnampet, India.",,,,,,,,,,,
,,,A2804,280,2805,Above-ground biomass estimation in ten tropical dry evergreen forest sites of peninsular India,"The present study aims to estimate the above-ground biomass (AGB) distribution in ten 1-ha permanent plots, established in five sites each in inland and coastal tropical dry evergreen forests of peninsular India. Two linear regression equations, one using basal area (BA, Method 1) and the other using BA and height (Method 2) were followed. On using method 1, the AGB varied from 39.69 to 170.02 Mg ha(-1) and by method 2, it varied from 73.06 to 173.10 Mg ha(-1). The relationship between BA and AGB yielded a positive correlation for all the five sites of inland and coastal areas. The basic wood specific gravity of 41 tree species determined by oven-dry weight by volume, ranged from 0.46 to 0.92 g cm(-3) for inland sites and 0.47 to 0.89 g cm(-3) for the coastal sites. The AGB estimation obtained in this study represents a more realistic picture of biomass of tropical dry evergreen forests, because a relatively large area was sampled. (c) 2007 Elsevier Ltd. All rights reserved.",Y,Plot-based or transects,https://doi.org/10.1016/j.biombioe.2006.08.006,2007,BIOMASS & BIOENERGY,"Mani, S; Parthasarathy, N",,,forest watershed; water balance; sediment yield; conservation structures; siltation; Western Ghats; Kerala,RECHARGE,Ministry of Earth Sciences (MoES) - India; National Centre for Earth Science Studies (NCESS),"Ctr Earth Sci Studies, Trivandrum 695031, Kerala, India","Babu, DSS (corresponding author), Ctr Earth Sci Studies, Trivandrum 695031, Kerala, India.",,,,,,,,,,,
,,,C0258,281,3355,Floristic and ecological studies on the sholas of Idukki District.,"This study investigated the floristics and phytosociological and regeneration aspects of the shola forests at Mannavan shola and Eravikulam National Park in Idukki District, Kerala, India. A total of 543 taxa of pteridophytes and angiosperms were recorded from the two areas of which 109 taxa are endemic, 123 are rare and 26 are endangered. Ecological studies were assessed using the life form spectrum, relationship between tree diameter and elevation, density of stems and of trees, diversity indices (viz., Shannon's, Simpson's and Pielou's index of evenness), basal area, and importance value and overall dominance. The number of species decreased with an increase in altitude, i.e. 94 species at 1850 m and 84 species at 2100 m. Of 1186 trees measured in the shola forests, the highest diameter measured was 160.7 cm at ∼1800 m. Regeneration studies showed the presence of 9688 unestablished seedlings and 3910 saplings in a 1-ha plot. The average number of trees ≥10 cm diameter at breast height (dbh) is 630±110/ha. The phytosociological studies conducted in 12 elevational belts showed that the tree species were categorized into three, viz., species with high constancy (>75%), species with medium constancy, and species with low constancy.",Y,Plot-based or transects,LINK,2001,NA,"K Swarupanandan, N Sasidharan",,,,,,,,,,,,,,,,,,
,,,A0855,282,856,Assessment of tree diversity and above-ground biomass in coffee agroforest dominated tropical landscape of India's Central Western Ghats,NA,Y,Plot-based,https://doi.org/10.1007/s11676-019-00885-1,2020,JOURNAL OF FORESTRY RESEARCH,"Devagiri, GM; Khaple, AK; Anithraj, HB; Kushalappa, CG; Krishnappa, AK; Mishra, SB",,,Landslide susceptibility model; Kurseong range; Landslide nominal susceptibility factor; Information value; Certainty factor,LAND-USE; SPATIAL PREDICTION; RIVER-BASIN; MODELS; CLASSIFICATION; INFORMATION; REGRESSION; ZONATION; EROSION; REGION,University of Gour Banga,"[Saha, Anik; Saha, Sunil] Univ Gour Banga, Dept Geog, Malda, W Bengal, India","Saha, S (corresponding author), Univ Gour Banga, Dept Geog, Malda, W Bengal, India.",,,,,,,,,,,
,,,A0994,283,995,"Differences in tree species diversity along the rural-urban gradient in Bengaluru, India",NA,Y,Plot-based,https://doi.org/10.1016/j.ufug.2019.126464,2019,URBAN FORESTRY & URBAN GREENING,"Jha, RK; Nolke, N; Diwakara, BN; Tewari, VP; Kleinn, C",,,East Karbi Anglong; Ethnobotany; Forest income; NTFPs; Wildlife sanctuary; Quantitative study; Medicinal plants,INFORMANT CONSENSUS FACTOR; MEDICINAL-PLANTS; ECOLOGICAL KNOWLEDGE; DISTRICT; ETHNOBOTANY; COMMUNITIES,"North Eastern Hill University; Rajiv Gandhi University, Itanagar","[Mipun, Puranjoy; Bhat, Nazir Ahmad; Kumar, Yogendra] North Eastern Hill Univ, Ctr Adv Studies Bot, Shillong 793022, Meghalaya, India; [Borah, Dipankar] Rajiv Gandhi Univ, Dept Bot, Doimukh 791112, Arunachal Prade, India","Mipun, P (corresponding author), North Eastern Hill Univ, Ctr Adv Studies Bot, Shillong 793022, Meghalaya, India.",University Grants Commission (UGC) [F1-17.1/2016-17/NFST-2015-17-ST-ASS-2761],gold,,,,,,,,,
,,,C0211,284,3355,"â€¦Â structure, regeneration and expected future composition at different levels of Lantana camara L. invasion in the Vindhyan tropical dry deciduous forest of India",NA,Y,Plot-based,no DOI (manual),2006,NA,"GP Sharma, AS Raghubanshi",,,,,,,,,,,,,,,,,,
,,,C0140,285,3355,Lantana camara invasion in a heterogeneous landscape: patterns of spread and correlation with changes in native vegetation,NA,Y,Plot-based,no DOI (manual),2012,NA,"B Sundaram, AJ Hiremath",,,,,,,,,,,,,,,,,,
,,,A1986,286,1987,Altered stand structure and tree allometry reduce carbon storage in evergreen forest fragments in India's Western Ghats,"Tropical forests are among the largest terrestrial reservoirs of carbon, and play an important role in regulating global climate. However, as a result of historic and ongoing deforestation, carbon storage in this biome is increasingly dependent on forests that are fragmented and used by humans, with considerable uncertainty about how such disturbance alters carbon storage potential and cycling. Here, we evaluate differences in above-ground carbon stocks between fragmented and contiguous evergreen forests in the central Western Ghats, India. We also assess differences in the structure, tree allometry and functional composition of forest stands between contiguous and fragmented forests, and explore how these differences influence carbon storage in fragmented forests. Relatively large, well-protected forest fragments currently store 40% less carbon per hectare above ground than contiguous forests. These differences in carbon are related to (i) lower tree density and basal area in fragments, (ii) lower average stand height in fragments, and (iii) compositional shifts favoring species with lower wood densities. Reduced stand height in fragments was associated with intra-specific variation in tree allometry, with trees in fragments being relatively shorter at any given diameter than conspecifics in contiguous forests. Further, the relatively skewed distribution of carbon storage within a few large trees in current-day fragments is added cause for concern: carbon stocks in fragments are likely to decline further in the future, following the eventual death of large trees. Active management and restoration to mitigate ecologically driven changes in habitat structure and species composition might be as important as improved management of resource use and protection from exploitation in order to sustain carbon storage ecosystem services provided by these tropical forest fragments. (C) 2014 Elsevier B.V. All rights reserved.",Y,Plot-based,https://doi.org/10.1016/j.foreco.2014.01.039,2014,FOREST ECOLOGY AND MANAGEMENT,"Osuri, AM; Kumar, VS; Sankaran, M",,,crab diversity; canonical correspondence analysis; edaphic qualities; habitat heterogeneity; hydrological parameters; mangroves,BIODIVERSITY; MALAYSIA; ECOLOGY; FOREST; COAST; RIVER,University of Calcutta,"[Sen, Shilpa; Mukherjee, Sudeshna; Chaudhuri, Atreyee; Homechaudhuri, Sumit] Univ Calcutta, Dept Zool, Aquat Bioresource Res Lab, Kolkata 700019, India","Sen, S (corresponding author), Univ Calcutta, Dept Zool, Aquat Bioresource Res Lab, 35 Ballygunge Circular Rd, Kolkata 700019, India.",University Grant Commission-National Eligibility Test project,"gold, Green Submitted",,,,,,,,,
,,,A2248,287,2249,Tree diversity and disturbance of kaan forests: Relics of a community protected climax vegetation in the Central Western Ghats,"A comparative description of tree diversity of community-protected kaan forests and state-managed reserve forests influenced by the level of disturbance and rainfall was assessed in Sagar taluk, Shimoga district, Karnataka, India. Kaan forests and state-managed reserve forests in regions of high and low rainfall were assessed for tree diversity. In each sampled site, a transect of 1 km and two 25 m(2) regeneration quadrats were laid. Kaan forests possessed a higher species richness, with 85 tree species, than the reserve forests (57). Basal area and tree density were also higher in the kaan forests, although the difference was only marginal in some instances. Richness of endemic, rare, endangered and threatened species, as well as species of medicinal or economic importance, was higher in the kaan forests than in the reserve forests. The total number of species, and the number of evergreen species, were negatively correlated with the level of disturbance. Further, with increased disturbance, the number of rare, endangered and threatened species also decreased, as did the number of endemics.",Y,Plot-based,no DOI (manual),2013,TROPICAL ECOLOGY,"Gunaga, S; Rajeshwari, N; Vasudeva, R",,,Heartwood and oil content; phytoplasma; restoration strategies; Santalum album; traditional value,GROWTH; IDENTIFICATION; RESOURCES; SANTALOL,Indian Council of Forestry Research & Education (ICFRE); Institute of Wood Science & Technology (IWST),"[Kumar, A. N. Arun; Joshi, Geeta] Inst Wood Sci & Technol, Malleswaram 560003, Bengaluru, India; [Ram, H. Y. Mohan] Shriram Inst Ind Res, Delhi 110007, India","Kumar, ANA (corresponding author), Inst Wood Sci & Technol, 18th Cross, Malleswaram 560003, Bengaluru, India.",,,,,,,,,,,
,,,A1910,288,1911,Assessment of carbon density and accumulation in mono- and multi-specific stands in Teak and Sal forests of a tropical dry region in India,"We investigated vegetation characteristics, carbon density (CD) and carbon accumulation (CA) of trees in mono- and multi-specific, Tectona grandis (Teak) and Shorea robusta (Sal) forest stands in a tropical dry region of India to address the following questions: (i) How are the mono- and multi-specific stands structured in terms of relative basal area of tree species? (ii) What are the levels of CD and CA in the stem component of tree species in the mono- and multi-specific stands? (iii) Which vegetation characteristics strongly account for the variations in CD and CA in the tree species in the mono- and multi-specific stands? We established 15 stands (six mono- and nine multi-specific stands), each having 4 ha area in the forest region. Total number of species across the stands was 46 belonging to 25 families. Average tree density ha(-1) and stem basal area (BA, m(2) ha(-1)), across the stands were 522 and 11.1, respectively. Margalef s index of species richness (SR), Whittaker's index of species evenness (Ew) and Shannon-Wiener index (H') were greater at multi-specific stands compared to mono-specific stands. Average wood specific gravity (WSG) across species for the mono-specific (Teak) was greatest compared to the other categories. Across the mono- and multi-specific stands, WSG among species ranged between 0.47 and 0.79 g cm(-3), with 26.2% having WSG >= 0.70 g cm(-3). Across the plots in mono- and multi-specific stands, stem density showed positive correlation with BA and aboveground stem biomass (AGB). The associations of SR with Ew and H', and Ew with H' were significantly positive. The AGB was positively associated with SR, Ew and BA. Repeated measures ANOVA indicated significant effects of year, stand and species for DBH, height and AGB. Average aboveground CD and CA across the stands were 136 t-C ha(-1) and 53 t-C ha(-1) yr(-1), respectively. Results of step-wise multiple regression indicated that across the stands, CD was influenced by BA and H', and CA was affected by SR and BA. Principal component analysis exhibited strong association of CA and CD with multi-specific stands compared to mono-specific stands. Teak and Sal trees showed maximum CA per unit BA at multi-specific stand compared to mono-specific stand. These findings can be used by the forest managers to increase the carbon density and accumulation in Teak and Sal forests of India. (C) 2014 Elsevier B.V. All rights reserved.",Y,Plot-based,https://doi.org/10.1016/j.foreco.2014.12.002,2015,FOREST ECOLOGY AND MANAGEMENT,"Chaturvedi, RK; Raghubanshi, AS",,,ATPase6/8; cytochrome b; genetic differentiation; haplotype diversity; nucleotide diversity,FISH; PHYLOGEOGRAPHY; BIOGEOGRAPHY,Indian Council of Agricultural Research (ICAR); ICAR - Directorate of Coldwater Fisheries Research,"[Sati, Jyoti; Kumar, Rohit; Sahoo, Prabhati Kumari; Patiyal, Rabindar S.; Ali, Shahnawaz; Barat, Ashoktaru] Indian Council Agr Res, Directorate Coldwater Fisheries Res, Mol Genet Lab, Naini Tal 263136, Uttarakhand, India","Barat, A (corresponding author), Indian Council Agr Res, Directorate Coldwater Fisheries Res, Mol Genet Lab, Naini Tal 263136, Uttarakhand, India.","Indian Council of Agricultural Research (ICAR), New Delhi, India",,,,,,,,,,
,,,A2209,289,2210,The Cost-Utility of Telemedicine to Screen for Diabetic Retinopathy in India,"Purpose: To assess the cost-effectiveness of a telemedicine diabetic retinopathy (DR) screening program in rural Southern India that conducts 1-off screening camps (i.e., screening offered once) in villages and to assess the incremental cost-effectiveness ratios of different screening intervals. Design: A cost-utility analysis using a Markov model. Participants: A hypothetical cohort of 1000 rural diabetic patients aged 40 years who had not been previously screened for DR and who were followed over a 25-year period in Chennai, India. Methods: We interviewed 249 people with diabetes using the time trade-off method to estimate utility values associated with DR. Patient and provider costs of telemedicine screening and hospital-based DR treatment were estimated through interviews with 100 diabetic patients, sampled when attending screening in rural camps (n = 50) or treatment at the base hospital in Chennai (n = 50), and with program and hospital managers. The sensitivity and specificity of the DR screening test were assessed in comparison with diagnosis using a gold standard method for 346 diabetic patients. Other model parameters were derived from the literature. A Markov model was developed in TreeAge Pro 2009 (TreeAge Software Inc, Williamstown, MA) using these data. Main Outcome Measures: Cost per quality-adjusted life-year (QALY) gained from the current teleophthalmology program of 1-off screening in comparison with no screening program and the cost-utility of this program at different screening intervals. Results: By using the World Health Organization threshold of cost-effectiveness, the current rural teleophthalmology program was cost-effective ($1320 per QALY) compared with no screening from a health provider perspective. Screening intervals of up to a frequency of screening every 2 years also were cost-effective, but annual screening was not (>$3183 per QALY). From a societal perspective, telescreening up to a frequency of once every 5 years was cost-effective, but not more frequently. Conclusions: From a health provider perspective, a 1-off DR telescreening program is cost-effective compared with no screening in this rural Indian setting. Increasing the frequency of screening up to 2 years also is cost-effective. The results are dependent on the administrative costs of establishing and maintaining screening at regular intervals and on achieving sufficient coverage. Financial Disclosure(s): The author(s) have no proprietary or commercial interest in any materials discussed in this article. Ophthalmology 2013;120:566-573 (C) 2013 by the American Academy of Ophthalmology.",Y,,https://doi.org/10.1016/j.ophtha.2012.09.002,2013,OPHTHALMOLOGY,"Rachapelle, S; Legood, R; Alavi, Y; Lindfield, R; Sharma, T; Kuper, H; Polack, S",,,Juglans regia; Walnut tree; Juglandaceae; Leaf essential oil; Chemical diversity; GC/MS,CHEMICAL DIVERSITY; PHENOLIC-COMPOUNDS; CULTIVARS; INDIA; LEAVES; VARIABILITY; KERNELS; JUGLONE; HUSKS,Council of Scientific & Industrial Research (CSIR) - India; CSIR - Central Institute of Medicinal & Aromatic Plants (CIMAP); Council of Scientific & Industrial Research (CSIR) - India; CSIR - Central Institute of Medicinal & Aromatic Plants (CIMAP),"[Verma, Ram S.; Padalia, Rajendra C.; Chauhan, Amit] CSIR, Cent Inst Med & Aromat Plants, Res Ctr, Udham Singh Nagar 263149, Uttarakhand, India; [Thul, Sanjog T.] CSIR, Cent Inst Med & Aromat Plants, Lucknow 226015, Uttar Pradesh, India","Verma, RS (corresponding author), CSIR, Cent Inst Med & Aromat Plants, Res Ctr, PO Nagla Dairy Farm, Udham Singh Nagar 263149, Uttarakhand, India.",,,,,,,,,,,
,,,A2553,290,2554,Comparative Genome Analysis Provides Insights into the Evolution and Adaptation of Pseudomonas syringae pv. aesculi on Aesculus hippocastanum,"A recently emerging bleeding canker disease, caused by Pseudomonas syringae pathovar aesculi (Pae), is threatening European horse chestnut in northwest Europe. Very little is known about the origin and biology of this new disease. We used the nucleotide sequences of seven commonly used marker genes to investigate the phylogeny of three strains isolated recently from bleeding stem cankers on European horse chestnut in Britain (E-Pae). On the basis of these sequences alone, the E-Pae strains were identical to the Pae type-strain (I-Pae), isolated from leaf spots on Indian horse chestnut in India in 1969. The phylogenetic analyses also showed that Pae belongs to a distinct clade of P. syringae pathovars adapted to woody hosts. We generated genome-wide Illumina sequence data from the three E-Pae strains and one strain of I-Pae. Comparative genomic analyses revealed pathovar-specific genomic regions in Pae potentially implicated in virulence on a tree host, including genes for the catabolism of plant-derived aromatic compounds and enterobactin synthesis. Several gene clusters displayed intra-pathovar variation, including those encoding type IV secretion, a novel fatty acid biosynthesis pathway and a sucrose uptake pathway. Rates of single nucleotide polymorphisms in the four Pae genomes indicate that the three E-Pae strains diverged from each other much more recently than they diverged from I-Pae. The very low genetic diversity among the three geographically distinct E-Pae strains suggests that they originate from a single, recent introduction into Britain, thus highlighting the serious environmental risks posed by the spread of an exotic plant pathogenic bacterium to a new geographic location. The genomic regions in Pae that are absent from other P. syringae pathovars that infect herbaceous hosts may represent candidate genetic adaptations to infection of the woody parts of the tree.",Y,,https://doi.org/10.1371/journal.pone.0010224,2010,PLOS ONE,"Green, S; Studholme, DJ; Laue, BE; Dorati, F; Lovell, H; Arnold, D; Cottrell, JE; Bridgett, S; Blaxter, M; Huitema, E; Thwaites, R; Sharp, PM; Jackson, RW; Kamoun, S",,,Intra-annual variations; teak; oxygen isotope,TECTONA-GRANDIS; NORTHERN THAILAND; LEAF WATER; TREE-RINGS; RATIOS; ENRICHMENT; RECORDS; LEAVES; CARBON; DELTA-O-18,"Department of Space (DoS), Government of India; Physical Research Laboratory - India; University of Agricultural Sciences Bangalore; Ministry of Earth Sciences (MoES) - India; Indian Institute of Tropical Meteorology (IITM)","[Managave, S. R.; Ramesh, R.] Phys Res Lab, Geosci Div, Ahmadabad 380009, Gujarat, India; [Sheshshayee, M. S.] Univ Agr Sci Bangalore, Dept Agr Sci, Bangalore 560065, Karnataka, India; [Borgaonkar, H. P.] Indian Inst Trop Meteorol, Pune 411008, Maharashtra, India","Ramesh, R (corresponding author), Phys Res Lab, Geosci Div, Ahmadabad 380009, Gujarat, India.",ISRO-GBP,,,,,,,,,,
,,,A1214,291,1215,"Diversity, population structure, and regeneration potential of tree species in five sacred forests of western Odisha, India","From September 2015 to February 2016, we collected field data to study the tree species diversity, population structure and regeneration potential of five sacred forests of western Odisha, India, that differ in size, associated deities, and local communities. The dose association of sacred forests with local people represents a community-based, participatory approach to conservation. Our quantitative analysis in five sites documented 78 tree species of 66 genera and 33 families. Tree density and species diversity were higher than previously reported for the forests of the Eastern Ghats, India. Population structure and regeneration potential in four out of five study sites showed a higher percentage of density in the seedling and sapling layers, demonstrating that these sites are regenerating. However, in the Gugarpat sacred forest, the population structure revealed large numbers of mature trees with a stable population structure. In our study, large proportions of species had either poor regeneration potential or were not regenerating. Hence, management strategies are needed to conserve these species. Our study documents the diversity, population patterns, and regeneration of the tree species of five sacred forests, which may help in further management and conservation of the biodiversity of sacred forests in India and globally.",Y,Unsure,https://doi.org/10.1080/11956860.2018.1522148,2019,ECOSCIENCE,"Pradhan, A; Ormsby, A; Behera, N",,,Heritability; genetic advance; growth attributes; cluster composition; agroforestry,EUCALYPTUS-GRANDIS; CLONAL TRIALS; GROWTH TRAITS,Tamil Nadu Agricultural University,"[Parthiban, K. T.; Thirunirai-Selvan, R.; Palanikumaran, B.; Krishnakumar, N.] Tamil Nadu Agr Univ, Forest Coll & Res Inst, Mettupalayam 641301, Tamil Nadu, India","Thirunirai-Selvan, R (corresponding author), Tamil Nadu Agr Univ, Forest Coll & Res Inst, Mettupalayam 641301, Tamil Nadu, India.",,Bronze,,,,,,,,,
,,,A3141,292,3142,"Tree diversity and distribution in undisturbed and human-impacted sites of tropical wet evergreen forest in southern Western Ghats, India","The composition, abundance, population structure and distribution patterns of all woody species (greater than or equal to 30 cm gbh) were investigated in an undisturbed and two adjacent human-impacted sites of a tropical wet evergreen forest in Kalakad National Park, Western Ghats, south India. Three 1-ha plots were established, one each in (i) an undisturbed site (named site UD), (ii) in a site selectively felled 35 years ago (site SF - small stems felled leaving the large trees (as shade) for developing it into a cardamom estate, on the failure of which the site was abandoned) and (iii) a frequently disturbed site (site FD - round woods logged for use in ovens for curing cardamom). These sites are 1 to 3 km apart in the same wet evergreen forest. In the three study plots a total of 2150 stems (mean density 716 ha(-1)) covering 122 species in 89 genera and 41 families were enumerated. Species richness was greatest (85 species ha(-)1) in the undisturbed site UD, intermediate (83) in SF and lowest (80) in FD. Tree density was greatest (855 stems ha(-)1) in site SF, intermediate (720) in UD and lowest (575) in FD. The forest stand was exceptionally voluminous in site UD (basal area 94.64 m(2) ha(-1)), intermediate (66.9 m(2)) in SF and least (61.7 m(2)) in FD, due to tree removal for fuel in the latter sites. Species composition and abundance patterns markedly varied between the three sites. In UD and SF, primary forest species (Cryptocarya bourdillonii , Cullenia exarillata Myristica dactyloides etc.) occurred in greater density. In FD heliophilic secondary forest species (Elaeocarpus venustus, Litsea wightiana, Viburnum punctatum and Vitex altissima) were abundant, while these were absent in UD and SF. The species-area curve did not reach an asymptote in any of the sites on the 1-ha scale. The stand population structure was clearly reverse 'J' shaped in UD and SF, while small stems were 2- to 3-fold fewer in FD. Most trees exhibited clumped distribution of individuals on the 1-ha scale. Variation in the kind and richness of species and their abundance is related to human interference and the need for forest conservation is emphasized.",Y,Plot-based or transects,https://doi.org/10.1023/A:1008949407385,1999,BIODIVERSITY AND CONSERVATION,"Parthasarathy, N",,,multi-purpose trees; site-specific growth; nitrogen-use-efficiency; shoot/root ratio; transplantation performance,FAMILIES; BIOMASS,Madurai Kamaraj University,"Madurai Kamaraj Univ, Sch Biol Sci, Dept Plant Sci, Madurai 625021, Tamil Nadu, India","Paliwal, K (corresponding author), Madurai Kamaraj Univ, Sch Biol Sci, Dept Plant Sci, Madurai 625021, Tamil Nadu, India.",,,,,,,,,,,
,,,A2481,293,2482,REMOTE SENSING BASED BIOPHYSICAL CHARACTERIZATION OF TROPICAL DECIDUOUS FOREST IN CENTRAL INDIA,"The paper reports the measurements of biophysical parameters using field and satellite data over a tropical deciduous forest Kanha National Park (KNP), central India. Field measurement (GBH, LAI, litter, soil moisture) was carried out over ten quadrates of 0.1ha in KNP for characterization of biophysical parameters with specified measurement protocol and sampling. Satellite based remote sensing analysis (LAI, Phenology, and NPP) was carried out using multi date observations of IRS-LISS-III, IMS-1MX, SPOT-VEGETATION and EOS-MODIS instruments. Rank correlation analysis using field data collected in the selected quadrates at KNP showed Sal (Shorea robusta) is dominant forest species followed by Lendia, Jamun (Syzygium cumini), Saja, Harra and Dhawda etc. Field measurement of Sal showed GBH range from 20 cm to 170 cm. Different forest classes such as Sal; Sal mixed with Jamun, Bamboo (Dendrocalamus strictus) etc, including grasslands/scrubland were classified with overall accuracy of 85.56 percent using March, May and October multi spectral data. Sal has distinct growth characteristics (low vegetation growth/leaf fall in March instead of May) as compared to other vegetation species. As per the Leaf Area Index (LAI) measurement using hemispherical photographs, Sal showed the highest LAI (6.95 m(2)/m(2)) during September and lowest LAI (2.63 m(2)/m(2)) during March. Overall good agreement (r=0.79) was found between the LAI generated from LISS-III and MODIS data product. It was observed from SPOT-VEGETATION analysis that NPP varied from 8.4 tC/ha/year (dry deciduous forest) to 14.25 tC/ha/year (Moist deciduous forest) in KNP.",Y,Plot-based or transects,no DOI (manual),2011,ISPRS BHOPAL 2011 WORKSHOP EARTH OBSERVATION FOR TERRESTRIAL ECOSYSTEM,"Singh, RP; Goroshi, S; Sharma, NK; Bairagi, GD; Sharma, R; Jalil, P; Jain, A; Sonakia, A; Parihar, JS",,,Arid western India; Biomass; Jaisalmer; NDVI; 16-day composite MODIS products (MOD13Q1),TIME-SERIES; SATELLITE; RESPONSES; NDVI,"Indian Council of Agricultural Research (ICAR); ICAR - Central Arid Zone Research Institute; Department of Space (DoS), Government of India; Indian Space Research Organisation (ISRO); National Remote Sensing Centre (NRSC)","[Santra, Priyabrata] Cent Arid Zone Res Inst, Jodhpur 342003, Rajasthan, India; [Chkraborty, Abhishek] Natl Remote Sensing Ctr, Hyderabad, Andhra Pradesh, India","Santra, P (corresponding author), Cent Arid Zone Res Inst, Jodhpur 342003, Rajasthan, India.",,,,,,,,,,,
,,,A1921,294,1922,QUANTIFICATION OF THE TERRESTRIAL PHYTOMASS AND CARBON IN THE MOUNTAINOUS FOREST ECOSYSTEM USING REMOTE SENSING AND IN-SITU OBSERVATIONS,"The aim of this research was to develop an understanding of how mountainous forests function in relation to forest phytomass and carbon accumulation in the terrestrial vegetation pools which will help develop options for climate change. In this study, the forest phytomass has been assessed in range of subtropical and temperate forest dominated by tree species of Quercus semicarpifolia Sm. and Pinus roxburghii Sarg in Himalayan region Purola tehsil in Uttarkashi district of Uttarakhand state of India. In-situ measurements of the phytomass were taken with clustered sampling approach on a total of 40 plots (0.1 ha each), i.e. in 10 MODIS pixels with 4 plots laid in an individual pixel. The field measured phytomass was found in the range of 67.76 - 1,108 t ha(-1). Weighted-area phytomass was estimated at an individual MODIS (MOD13Q1, 250m) pixel where in-situ measurements varied from 207.93 t ha(-1) - 1,042 t ha(-1). The best fit equation of pixel phytomass values was regressed on red, infra-red and vegetation indices (NDVI) derived from the MODIS data. The correlation between the measured phytomass and NDVI was found significant and maximum in the month of December (R value -0.71, p < 0.01). However, such a relationship was not persistent throughout the year. The R-2 value between observed phytomass and predicted phytomass was 0.53. The predicted phytomass based on 250x250 m MODIS data varied from 216.88 - 1,011 t ha(-1). The average phytomass density in study area was 470.42 t ha(-1) and carbon density 221.09 t ha(-1).",Y,Plot-based or transects,https://doi.org/10.5194/isprsarchives-XL-7-W3-483-2015,2015,36TH INTERNATIONAL SYMPOSIUM ON REMOTE SENSING OF ENVIRONMENT,"Patil, P; Dutta, D; Biradar, C; Singh, M",,,Land Use Change; Data Mining; Multivariate Adaptive Regression Spline; Artificial Neural Network; Receiver Operating Characteristic,LAND-USE CHANGE; RIVER; MODEL,University of Tehran; University of Tehran; University of California System; University of California Riverside; Tarbiat Modares University,"[Ahmadlou, M.] Univ Tehran, Coll Engn, Sch Surveying & Geospatial Engn, GIS Dept, Tehran, Iran; [Delavar, M. R.] Univ Tehran, Coll Engn, Sch Surveying & Geospatial Engn, Ctr Excellence Geomat Engn Disaster Management, Tehran, Iran; [Tayyebi, A.] Univ Calif Riverside, Ctr Conservat Biol, Riverside, CA 92521 USA; [Shafizadeh-Moghadam, H.] Tarbiat Modares Univ, Dept GIS & RS, Tehran, Iran","Delavar, MR (corresponding author), Univ Tehran, Coll Engn, Sch Surveying & Geospatial Engn, Ctr Excellence Geomat Engn Disaster Management, Tehran, Iran.",,"gold, Green Submitted",,,,,,,,,
