treatment,forest_type,plot_ID,gbh_cm,gbh_cm_stem2,gbh_cm_stem3,height_m,code,species_ID,family,ID_level,plotA,plotB,plotC,wd_m,wd_sd,WD_level,type_plot,gf
L1,deciduous,MAT2C2P08,135,NA,NA,19.5,agland,Aglaia andamanica,Meliaceae,S,Y,NA,NA,0.659026321,0.089693385,G,A,T
L1,deciduous,MAT2C2P08,41,NA,NA,11.5,clenit,Cleidion nitidum,Euphorbioaceae,S,Y,NA,NA,0.516666667,0.170098011,G,A,T
L1,deciduous,MAT2C2P08,118,NA,NA,15.5,mimand,Mimusops andamanica,Sapotaceae,S,Y,NA,NA,0.843016197,0.061560279,G,A,T
L1,deciduous,MAT2C2P08,40,NA,NA,15.5,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,Y,NA,NA,0.25,0.070641633,S,A,T
L1,deciduous,MAT2C2P08,44,NA,NA,12.5,milhor,Miliusa horsfieldii,Annonaceae,S,Y,NA,NA,0.61,0.038162367,S,A,T
L1,deciduous,MAT2C2P08,81,NA,NA,17.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT2C2P08,78,NA,NA,15.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT2C2P08,38,NA,NA,11.5,surmul,Suregada multiflora,Euphorbioaceae,S,Y,NA,NA,0.647472,0.033046136,S,A,T
L1,deciduous,MAT2C2P08,40,NA,NA,12.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT2C2P08,142,NA,NA,24.5,celphi,Celtis philippenis,Ulmaceae,S,Y,NA,NA,0.593820603,0.083757201,G,A,T
L1,deciduous,MAT2C2P08,77,NA,NA,15.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT2C2P08,59,NA,NA,11.5,sagell,Sageraea elliptica,Annonaceae,S,Y,NA,NA,0.67,0.086799749,S,A,T
L1,deciduous,MAT2C2P08,50,NA,NA,1,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT2C2P08,72,NA,NA,11.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT2C2P08,161,NA,NA,16.5,vitgla,Vitex glabrata,Verbenaceae,S,Y,NA,NA,0.57974,0.07705028,S,A,T
L1,deciduous,MAT2C2P08,115,NA,NA,24.5,terpro,Terminalia procera,Combretaceae,S,Y,NA,NA,0.52,0.153541295,S,A,T
L1,deciduous,MAT2C2P08,46,NA,NA,13.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT2C2P08,34,NA,NA,7,diocor,Diospyros cordifolia,Ebenaceae,S,Y,NA,NA,0.73,0.130127619,S,A,T
L1,deciduous,MAT2C2P08,184,NA,NA,23.5,terpro,Terminalia procera,Combretaceae,S,NA,NA,Y,0.52,0.153541295,S,C,T
L1,deciduous,MAT2C2P08,202,NA,NA,19.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,NA,NA,Y,0.552762,0.063149352,S,C,T
L1,deciduous,MAT2C2P08,182,NA,NA,20.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,deciduous,MAT2C2P08,184,NA,NA,23.5,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,NA,NA,Y,0.25,0.070641633,S,C,T
L1,deciduous,MAT2C2P08,190,NA,NA,24.5,terman,Terminalia manii,Combretaceae,S,NA,NA,Y,0.66,0.153541295,S,C,T
L1,deciduous,MAT2C2P08,227,NA,NA,27.5,terpro,Terminalia procera,Combretaceae,S,NA,NA,Y,0.52,0.153541295,S,C,T
L1,deciduous,MAT2C2P08,240,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.590106523,0.037744538,P,C,T
L1,deciduous,MAT2C2P08,223,NA,NA,28.5,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,NA,NA,Y,0.25,0.070641633,S,C,T
L1,deciduous,MAT2C2P08,220,NA,NA,28.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,deciduous,MAT2C2P08,263,NA,NA,27.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,deciduous,MAT2C2P08,219,NA,NA,25.5,stevil,Sterculia villosa,Sterculiaceae,S,NA,NA,Y,0.254856,0.127696287,S,C,T
L1,deciduous,MAT2C2P08,205,NA,NA,25.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,NA,NA,Y,0.552762,0.063149352,S,C,T
L1,evergreen,MAT2C2P09,72,NA,NA,18.5,hopodo,Hopea odorata,Dipterocarpaceae,S,Y,Y,NA,0.635,0.06363961,S,B,T
L1,evergreen,MAT2C2P09,23,NA,NA,8,glosp,Glochidion sp,Euphorbioaceae,G,NA,Y,NA,0.562466778,0.065759955,G,B,T
L1,evergreen,MAT2C2P09,10,NA,NA,3.5,leprub,Lepisanthes rubiginosa,Sapindaceae,S,NA,Y,NA,0.63,0.156428898,S,B,T
L1,evergreen,MAT2C2P09,14,NA,NA,2,garand,Garcinia andamanica,Clusiaceae,S,NA,Y,NA,0.734589334,0.115786327,G,B,T
L1,evergreen,MAT2C2P09,16,NA,NA,1,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C2P09,10,NA,NA,4,surmul,Suregada multiflora,Euphorbioaceae,S,NA,Y,NA,0.647472,0.033046136,S,B,T
L1,evergreen,MAT2C2P09,13,NA,NA,3.5,surmul,Suregada multiflora,Euphorbioaceae,S,NA,Y,NA,0.647472,0.033046136,S,B,T
L1,evergreen,MAT2C2P09,17,NA,NA,3,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C2P09,13,NA,NA,4,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C2P09,11,NA,NA,4,surmul,Suregada multiflora,Euphorbioaceae,S,NA,Y,NA,0.647472,0.033046136,S,B,T
L1,evergreen,MAT2C2P09,10,NA,NA,4,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C2P09,17,NA,NA,1,unk,unknown,NA,G,NA,Y,NA,0.564160674,0.040228112,P,B,T
L1,evergreen,MAT2C2P09,76,NA,NA,18.5,hopodo,Hopea odorata,Dipterocarpaceae,S,Y,Y,NA,0.635,0.06363961,S,B,T
L1,evergreen,MAT2C2P09,14,NA,NA,4.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,evergreen,MAT2C2P09,11,NA,NA,3,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C2P09,52,NA,NA,9.5,semkur,Semecarpus kurzii,Anacardiaceae,S,Y,Y,NA,0.357206,0.087608313,G,B,T
L1,evergreen,MAT2C2P09,14,NA,NA,5,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C2P09,17,NA,NA,4,licpel,Licuala peltata,Arecaceae,S,NA,Y,NA,0.564160674,0.040228112,P,B,P
L1,evergreen,MAT2C2P09,16,NA,NA,4,licpel,Licuala peltata,Arecaceae,S,NA,Y,NA,0.564160674,0.040228112,P,B,P
L1,evergreen,MAT2C2P09,17,NA,NA,4.5,licpel,Licuala peltata,Arecaceae,S,NA,Y,NA,0.564160674,0.040228112,P,B,P
L1,evergreen,MAT2C2P09,17,NA,NA,7,licpel,Licuala peltata,Arecaceae,S,NA,Y,NA,0.564160674,0.040228112,P,B,P
L1,evergreen,MAT2C2P09,17,NA,NA,5,licpel,Licuala peltata,Arecaceae,S,NA,Y,NA,0.564160674,0.040228112,P,B,P
L1,evergreen,MAT2C2P09,16,NA,NA,6,licpel,Licuala peltata,Arecaceae,S,NA,Y,NA,0.564160674,0.040228112,P,B,P
L1,evergreen,MAT2C2P09,17,NA,NA,3.6,licpel,Licuala peltata,Arecaceae,S,NA,Y,NA,0.564160674,0.040228112,P,B,P
L1,evergreen,MAT2C2P09,157,NA,NA,29.5,artcha,Artocarpus chaplasha,Moraceae,S,Y,Y,NA,0.459192,0.012999451,S,B,T
L1,evergreen,MAT2C2P09,10,NA,NA,3,diopil,Diospyros pilosiuscula,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C2P09,11,NA,NA,3,diopyr,Diospyros pyrrhocarpa,Ebenaceae,S,NA,Y,NA,0.64,0.130127619,S,B,T
L1,evergreen,MAT2C2P09,14,NA,NA,4,glosp,Glochidion sp,Euphorbioaceae,G,NA,Y,NA,0.562466778,0.065759955,G,B,T
L1,evergreen,MAT2C2P09,15,NA,NA,6,xanand,Xanthophyllum andamanicum,Xanthophyllaceae,S,NA,Y,NA,0.704273905,0.087201939,G,B,T
L1,evergreen,MAT2C2P09,145,NA,NA,32.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,Y,NA,NA,0.552762,0.063149352,S,A,T
L1,evergreen,MAT2C2P09,52,NA,NA,10.5,leprub,Lepisanthes rubiginosa,Sapindaceae,S,Y,NA,NA,0.63,0.156428898,S,A,T
L1,evergreen,MAT2C2P09,53,NA,NA,15.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C2P09,95,NA,NA,19.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,evergreen,MAT2C2P09,98,NA,NA,23.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,Y,NA,NA,0.552762,0.063149352,S,A,T
L1,evergreen,MAT2C2P09,70,NA,NA,22.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,Y,NA,NA,0.552762,0.063149352,S,A,T
L1,evergreen,MAT2C2P09,72,NA,NA,17.5,gonmac,Goniothalamus macranthus,Annonaceae,S,Y,NA,NA,0.44,0.084852814,G,A,T
L1,evergreen,MAT2C2P09,124,NA,NA,25.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,Y,NA,NA,0.552762,0.063149352,S,A,T
L1,evergreen,MAT2C2P09,34,NA,NA,8,diopil,Diospyros pilosiuscula,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,evergreen,MAT2C2P09,236,NA,NA,22.5,artcha,Artocarpus chaplasha,Moraceae,S,Y,NA,Y,0.459192,0.012999451,S,A,T
L1,evergreen,MAT2C2P09,48,NA,NA,12.5,diound,Diospyros undulata,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,evergreen,MAT2C2P09,91,NA,NA,12.5,bouopp,Bouea oppositifolia,Anacardiaceae,S,Y,NA,NA,0.745,0.106066017,S,A,T
L1,evergreen,MAT2C2P09,136,NA,NA,28.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C2P09,102,NA,NA,24.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,Y,NA,NA,0.552762,0.063149352,S,A,T
L1,evergreen,MAT2C2P09,41,NA,NA,9.5,sagell,Sageraea elliptica,Annonaceae,S,Y,NA,NA,0.67,0.086799749,S,A,T
L1,evergreen,MAT2C2P09,35,NA,NA,11.5,milhor,Miliusa horsfieldii,Annonaceae,S,Y,NA,NA,0.61,0.038162367,S,A,T
L1,evergreen,MAT2C2P09,332,NA,NA,6.5,leprub,Lepisanthes rubiginosa,Sapindaceae,S,Y,NA,Y,0.63,0.156428898,S,A,T
L1,evergreen,MAT2C2P09,48,NA,NA,14.5,pteace,Pterospermum aceroides,Sterculiaceae,S,Y,NA,NA,0.520992806,0.099729288,G,A,T
L1,evergreen,MAT2C2P09,93,NA,NA,22.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,Y,NA,NA,0.552762,0.063149352,S,A,T
L1,evergreen,MAT2C2P09,45,NA,NA,16.5,surmul,Suregada multiflora,Euphorbioaceae,S,Y,NA,NA,0.647472,0.033046136,S,A,T
L1,evergreen,MAT2C2P09,230,NA,NA,30.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,Y,NA,Y,0.307096,0.048223214,S,A,T
L1,evergreen,MAT2C2P09,201,NA,NA,24.5,artcha,Artocarpus chaplasha,Moraceae,S,NA,NA,Y,0.459192,0.012999451,S,C,T
L1,evergreen,MAT2C2P09,180,NA,NA,28.5,spopin,Spondias pinnata,Anacardiaceae,S,NA,NA,Y,0.2944072,0.06427548,S,C,T
L1,evergreen,MAT2C2P09,240,NA,NA,32.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,evergreen,MAT2C2P09,218,NA,NA,30.5,chutab,Chukrasia tabularis,Meliaceae,S,NA,NA,Y,0.5480356,0.032069138,S,C,T
L1,evergreen,MAT2C2P09,250,NA,NA,34.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,evergreen,MAT2C2P09,180,NA,NA,33.5,terpro,Terminalia procera,Combretaceae,S,NA,NA,Y,0.52,0.153541295,S,C,T
L1,evergreen,MAT2C2P09,213,NA,NA,27.5,stepar,Sterculia parviflora,Sterculiaceae,S,NA,NA,Y,0.426577466,0.127696287,G,C,T
L1,evergreen,MAT2C2P09,334,NA,NA,46.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,NA,NA,Y,0.645402767,0.073764352,G,C,T
L1,evergreen,MAT2C2P09,188,NA,NA,24.5,artcha,Artocarpus chaplasha,Moraceae,S,NA,NA,Y,0.459192,0.012999451,S,C,T
L1,evergreen,MAT2C2P09,222,NA,NA,42.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,evergreen,MAT2C2P09,265,NA,NA,36.5,parins,Parishia insignis,Anacardiaceae,S,NA,NA,Y,0.556666667,0.090184995,S,C,T
L1,evergreen,MAT2C2P09,338,NA,NA,45.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,evergreen,MAT2C2P09,185,NA,NA,34.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,evergreen,MAT2C2P09,180,NA,NA,34.5,parins,Parishia insignis,Anacardiaceae,S,NA,NA,Y,0.556666667,0.090184995,S,C,T
L1,evergreen,MAT2C2P09,309,NA,NA,36.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,evergreen,MAT2C2P09,307,NA,NA,35.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,evergreen,MAT2C2P09,210,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.564160674,0.040228112,P,C,T
L1,evergreen,MAT2C2P09,292,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.564160674,0.040228112,P,C,T
L1,evergreen,MAT2C2P09,340,NA,NA,35.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,evergreen,MAT2C2P09,210,NA,NA,35.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,evergreen,MAT2C2P09,255,NA,NA,36.5,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,NA,NA,Y,0.25,0.070641633,S,C,T
L1,evergreen,MAT2C2P09,185,NA,NA,30.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,evergreen,MAT2C2P09,240,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.564160674,0.040228112,P,C,T
L1,evergreen,MAT2C3P01,74,NA,NA,9,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,47,NA,NA,12,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C3P01,161,NA,NA,23,terpro,Terminalia procera,Combretaceae,S,Y,NA,NA,0.52,0.153541295,S,A,T
L1,evergreen,MAT2C3P01,67,NA,NA,12,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,46,NA,NA,10,crypan,Crypteronia paniculata,Crypteroniaceae,S,Y,NA,NA,0.66359,0.107981877,S,A,T
L1,evergreen,MAT2C3P01,45,NA,NA,13,semkur,Semecarpus kurzii,Anacardiaceae,S,Y,NA,NA,0.357206,0.087608313,G,A,T
L1,evergreen,MAT2C3P01,60,NA,NA,9,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,39,NA,NA,11,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,111,NA,NA,20,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,Y,NA,NA,0.25,0.070641633,S,A,T
L1,evergreen,MAT2C3P01,117,NA,NA,23,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C3P01,64,NA,NA,11,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,36,NA,NA,NA,belsp,Climber species,NA,G,Y,NA,NA,0.520791021,0.046375736,P,A,P
L1,evergreen,MAT2C3P01,33,NA,NA,9,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,30,NA,NA,8,bacsap,Baccaurea sapida,Euphorbioaceae,S,Y,NA,NA,0.623529412,0.082911186,G,A,T
L1,evergreen,MAT2C3P01,36,NA,NA,7,drylon,Drypetes longifolia,Euphorbioaceae,S,Y,NA,NA,0.62,0.075472281,S,A,T
L1,evergreen,MAT2C3P01,72,NA,NA,22,terman,Terminalia manii,Combretaceae,S,Y,NA,NA,0.66,0.153541295,S,A,T
L1,evergreen,MAT2C3P01,74,NA,NA,14,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,223,NA,NA,25,ficjab,Ficus jab dumbar,Moraceae,S,Y,NA,Y,0.411557578,0.093306861,G,A,T
L1,evergreen,MAT2C3P01,45,NA,NA,11,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,34,NA,NA,10,polgla,Polyalthia glauca,Annonaceae,S,Y,NA,NA,0.45,0.106097733,S,A,T
L1,evergreen,MAT2C3P01,80,NA,NA,19,dradao,Dracontomelon dao,Anacardiaceae,S,Y,NA,NA,0.4,0.155563492,S,A,T
L1,evergreen,MAT2C3P01,33,NA,NA,5,diound,Diospyros undulata,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,evergreen,MAT2C3P01,85,NA,NA,12,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,66,NA,NA,11,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P01,203,NA,NA,31,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,NA,NA,Y,0.645402767,0.073764352,G,C,T
L1,evergreen,MAT2C3P01,224,NA,NA,30,caneup,Canarium euphyllum,Burseraceae,S,NA,NA,Y,0.35,0.087044145,S,C,T
L1,evergreen,MAT2C3P01,220,NA,NA,34,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,NA,NA,Y,0.645402767,0.073764352,G,C,T
L1,evergreen,MAT2C3P01,185,NA,NA,28,ficjab,Ficus jab dumbar,Moraceae,S,NA,NA,Y,0.411557578,0.093306861,G,C,T
L1,evergreen,MAT2C3P01,198,NA,NA,29,terpro,Terminalia procera,Combretaceae,S,NA,NA,Y,0.52,0.153541295,S,C,T
L1,evergreen,MAT2C3P01,180,NA,NA,28,stepar,Sterculia parviflora,Sterculiaceae,S,NA,NA,Y,0.426577466,0.127696287,G,C,T
L1,evergreen,MAT2C3P01,280,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.520791021,0.046375736,P,C,T
L1,evergreen,MAT2C3P01,207,NA,NA,26,artcha,Artocarpus chaplasha,Moraceae,S,NA,NA,Y,0.459192,0.012999451,S,C,T
L1,evergreen,MAT2C3P01,262,NA,NA,32,terpro,Terminalia procera,Combretaceae,S,NA,NA,Y,0.52,0.153541295,S,C,T
L1,evergreen,MAT2C3P01,180,NA,NA,22,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,NA,NA,Y,0.552762,0.063149352,S,C,T
L1,evergreen,MAT2C3P01,290,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.520791021,0.046375736,P,C,T
L1,evergreen,MAT2C3P01,192,NA,NA,18,pajrhe,Pajanelia rheedei,Bignoniaceae,S,NA,NA,Y,0.716352,0.252720576,S,C,T
L1,evergreen,MAT2C3P01,34,NA,NA,5,kneand,Knema andamanica,Myristicaceae,S,Y,Y,NA,0.533326316,0.045363932,G,B,T
L1,evergreen,MAT2C3P01,44,NA,NA,12.5,mactan,Macaranga tanarius,Euphorbioaceae,S,Y,Y,NA,0.45608,0.03688269,S,B,T
L1,evergreen,MAT2C3P01,43,NA,NA,31.5,pteace,Pterospermum aceroides,Sterculiaceae,S,Y,Y,NA,0.520992806,0.099729288,G,B,T
L1,evergreen,MAT2C3P01,124,NA,NA,24.5,stevil,Sterculia villosa,Sterculiaceae,S,Y,Y,NA,0.254856,0.127696287,S,B,T
L1,evergreen,MAT2C3P01,14,NA,NA,4,aretri,Areca triandra,Arecaceae,S,NA,Y,NA,0.520791021,0.046375736,P,B,P
L1,evergreen,MAT2C3P01,14,NA,NA,2.5,aretri,Areca triandra,Arecaceae,S,NA,Y,NA,0.520791021,0.046375736,P,B,P
L1,evergreen,MAT2C3P01,10,NA,NA,3.5,melgla,Melicope glabra,Rubiaceae,S,NA,Y,NA,0.33,0.112874602,S,B,T
L1,evergreen,MAT2C3P01,30,NA,NA,3,diound,Diospyros undulata,Ebenaceae,S,Y,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C3P01,18,NA,NA,5,diland,Dillenia andamanica,Dilleniaceae,S,NA,Y,NA,0.61240513,0.066353381,G,B,T
L1,evergreen,MAT2C3P01,41,NA,NA,12.5,jbadam,jungli badam medha,NA,G,Y,Y,NA,0.520791021,0.046375736,P,B,T
L1,evergreen,MAT2C3P01,31,NA,NA,3.5,parins,Parishia insignis,Anacardiaceae,S,Y,Y,NA,0.556666667,0.090184995,S,B,T
L1,evergreen,MAT2C3P01,10,NA,NA,4,sagell,Sageraea elliptica,Annonaceae,S,NA,Y,NA,0.67,0.086799749,S,B,T
L1,evergreen,MAT2C3P01,10,NA,NA,4,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT2C3P01,19,NA,NA,2,diopyr,Diospyros pyrrhocarpa,Ebenaceae,S,NA,Y,NA,0.64,0.130127619,S,B,T
L1,evergreen,MAT2C3P01,79,NA,NA,19.5,bomins,Bombax insigne,Bombacaceae,S,Y,Y,NA,0.371231783,0.07320674,G,B,T
L1,evergreen,MAT2C3P01,10,NA,NA,3,clemyr,Cleistanthus myrianthus,Euphorbioaceae,S,NA,Y,NA,0.535,0.06363961,S,B,T
L1,evergreen,MAT2C3P01,13,NA,NA,7.5,leasp,Leea sp,Leeaceae,G,NA,Y,NA,0.57,0.155563492,G,B,T
L1,evergreen,MAT2C3P01,10,NA,NA,3.5,terpro,Terminalia procera,Combretaceae,S,NA,Y,NA,0.52,0.153541295,S,B,T
L1,evergreen,MAT2C3P01,32,NA,NA,12.5,semkur,Semecarpus kurzii,Anacardiaceae,S,Y,Y,NA,0.357206,0.087608313,G,B,T
L1,evergreen,MAT2C3P01,25,NA,NA,5,tretom,Trema tomentosa,Ulmaceae,S,NA,Y,NA,0.330762133,0.011916591,S,B,T
L1,evergreen,MAT2C3P01,13,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.520791021,0.046375736,P,B,P
L1,evergreen,MAT2C3P01,10,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.520791021,0.046375736,P,B,P
L1,evergreen,MAT2C3P01,10,NA,NA,2.5,anttox,Antiaris toxicaria,Moraceae,S,NA,Y,NA,0.383069275,0.057834337,S,B,T
L1,evergreen,MAT2C3P01,300,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.520791021,0.046375736,P,C,T
L1,evergreen,MAT2C3P02,73,NA,NA,16.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C3P02,46,NA,NA,19.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C3P02,48,NA,NA,16.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C3P02,38,NA,NA,14.5,kneand,Knema andamanica,Myristicaceae,S,Y,NA,NA,0.533326316,0.045363932,G,A,T
L1,evergreen,MAT2C3P02,73,NA,NA,17.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C3P02,67,NA,NA,18.5,pompin,Pometia pinnata,Sapindaceae,S,Y,NA,NA,0.63303,0.066968606,S,A,T
L1,evergreen,MAT2C3P02,150,NA,NA,22.5,anttox,Antiaris toxicaria,Moraceae,S,Y,NA,NA,0.383069275,0.057834337,S,A,T
L1,evergreen,MAT2C3P02,51,NA,NA,17.5,cracoc,Cratoxylon cochinchinense,Hypericaceae,S,Y,NA,NA,0.576168919,0.038756078,P,A,T
L1,evergreen,MAT2C3P02,160,NA,NA,30.5,endmal,Endospermum malaccense,Euphorbioaceae,S,Y,NA,NA,0.46,0.050368756,S,A,T
L1,evergreen,MAT2C3P02,45,NA,NA,NA,belsp,Climber species,NA,G,Y,NA,NA,0.576168919,0.038756078,P,A,P
L1,evergreen,MAT2C3P02,190,NA,NA,36.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,Y,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C3P02,50,NA,NA,22.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT2C3P02,54,NA,NA,18.5,pajrhe,Pajanelia rheedei,Bignoniaceae,S,Y,NA,NA,0.716352,0.252720576,S,A,T
